: прологъ:NOUN,прологъ
: о:ADP,о
: х҃ѣ:PROPN,христосъ
: оумѣренъ:VERB,оумѣрити
: съказаниꙗ:NOUN,съказаниє
: с҃тго:ADJ,свѧтъ
: еваньгелиꙗ:NOUN,евангелиє
: сътворенъ:VERB,сътворити
: костѧнтинъмь:NOUN,константинъ
: имъже:PRON,иже
: и:ADV,и
: прѣложениє:NOUN,прѣложениє
: тогожде:DET,тъжде
: съказаниꙗ:NOUN,съказаниє
: євангельскааго:ADJ,евангельскъ
: азъ:PRON,азъ
: словомь:NOUN,слово
: симъ:DET,сь
: молю:VERB,молити
: б҃оу:NOUN,богъ
: б҃е:NOUN,богъ
: всеꙗ:DET,вьсь
: твари:NOUN,тварь
: и:CCONJ,и
: зиждителю:NOUN,зиждитель
: г҃а:NOUN,господь
: д҃ха:NOUN,доухъ
: посъли:VERB,посълати
: живоущааго:ADJ,жити
: да:ADV,да
: въдъхнеть:VERB,въдъхнѫти
: въ:ADP,въ
: срьдьце:NOUN,срьдьце
: ми:PRON,азъ
: слово:NOUN,слово
: єже:SCONJ,иже
: боудеть:NOUN,бꙑти
: на:ADP,на
: оуспѣхъ:NOUN,оуспѣхъ
: вьсѣмъ:DET,вьсь
: живоущиимъ:NOUN,жити
: въ:ADP,въ
: заповѣдьхъ:NOUN,заповѣдь
: ти:PRON,тꙑ
: ꙃѣло:ADV,ꙃѣло
: бо:ADV,бо
: єсть:VERB,бꙑти
: свѣтильникъ:NOUN,свѣтильникъ
: жизни:NOUN,жизнь
: законъ:NOUN,законъ
: твои:DET,твои
: и:CCONJ,и
: свѣтъ:NOUN,свѣтъ
: стьзамъ:NOUN,стьꙃа
: ищеть:VERB,искати
: ев҃нгельска:ADJ,евангельскъ
: слова:NOUN,слово
: просить:VERB,просити
: твоꙗ:DET,твои
: приꙗти:VERB,приѩти
: летить:PROPN,летѣти
: бо:ADV,бо
: и:CCONJ,и
: словѣньско:ADJ,словѣньскъ
: племѧ:NOUN,племѧ
: къ:ADP,къ
: крьщению:NOUN,крьщениє
: обратиша:VERB,обратити
: вьси:PRON,вьсь
: людиє:NOUN,люди
: твои:DET,твои
: нарещи:VERB,нарещи
: хотѧще:VERB,хотѣти
: милости:NOUN,милость
: твоєꙗ:DET,твои
: б҃е:NOUN,богъ
: просѧть:VERB,просити
: зѣло:ADV,ꙃѣло
: нъ:CCONJ,нъ
: мънѣ:PRON,азъ
: пространо:ADJ,пространъ
: слово:NOUN,слово
: даждь:VERB,дати
: о҃че:NOUN,отьць
: с҃не:NOUN,сꙑнъ
: и:CCONJ,и
: д҃ше:NOUN,доухъ
: просѧщоуоумоу:VERB,просити
: помощи:NOUN,помощь
: ѿ:ADP,отъ
: тебе:PRON,тꙑ
: роуцѣ:NOUN,рѫка
: бо:ADV,бо
: свои:DET,свои
: горѣ:NOUN,горѣ
: въздѣю:VERB,въздѣꙗти
: присно:ADJ,присно
: силоу:NOUN,сила
: приꙗти:NOUN,приѩти
: и:CCONJ,и
: моудрость:NOUN,мѫдрость
: оу:ADP,оу
: тебе:PRON,тꙑ
: бо:ADV,бо
: даєши:VERB,даꙗти
: достоиномъ:ADJ,достоинъ
: силоу:NOUN,сила
: упостась:NOUN,ѵпостась
: же:ADP,же
: вьсѧкоую:ADJ,вьсꙗкъ
: цѣлиши:VERB,цѣлити
: фараоша:NOUN,фараошь
: мѧ:ADP,азъ
: избави:VERB,избавити
: херовьскоу:ADJ,херовьскъ
: ми:NOUN,азъ
: и:CCONJ,и
: оумъ:NOUN,оумъ
: даждь:VERB,дати
: о:ADP,о
: чьстнаꙗ:ADJ,чьстьнъ
: прѣст҃аꙗ:ADJ,прѣсвѧтъ
: троице:NOUN,троица
: печаль:NOUN,печаль
: мою:DET,мои
: на:ADP,на
: радость:NOUN,радость
: прѣложи:VERB,прѣложити
