: неⷣ҇:NUM,недѣлꙗ
: прѣⷣ҇:NUM,прѣдъ
: рожьствъмь:NOUN,рождьство
: хвⷪ҇мь:NOUN,христовъ
: їоана:PROPN,иоанъ
: съказание:NOUN,съказаниє
: ѿ:NUM,отъ
: маⷴ:NUM,матъѳѣи
: се:INTJ,се
: съборъ:NOUN,съборъ
: се:INTJ,се
: сп҃сение:NOUN,съпасениє
: д҃шь:NOUN,доуша
: се:INTJ,се
: придохъ:VERB,прити
: длъгъ:NOUN,длъгъ
: ѿдати:VERB,отъдати
: вамъ:PRON,вꙑ
: длъгъ:NOUN,длъгъ
: и:CCONJ,и
: мене:PRON,азъ
: въздающаго:VERB,въздаꙗти
: ѡбогатꙗщь:VERB,обогатити
: а:CCONJ,а
: васъ:PRON,вꙑ
: приемлющиихъ:NOUN,приимати
: пользѧщь:VERB,польꙃѣти
: придохъ:VERB,прити
: оставъшааго:VERB,оставити
: длъга:NOUN,длъгъ
: аще:SCONJ,аще
: и:ADV,и
: нищь:ADJ,нищь
: єсмь:NOUN,бꙑти
: нъ:CCONJ,нъ
: къ:ADP,къ
: вашеи:DET,вашь
: любъви:NOUN,любꙑ
: прелюбьзно:ADV,прѣлюбьзно
: же:ADV,же
: хощю:VERB,хотѣти
: къ:ADP,къ
: вамъ:PRON,вꙑ
: бесѣдовати:VERB,бесѣдовати
: нъ:CCONJ,нъ
: не:ADV,не
: виждю:VERB,видѣти
: събора:NOUN,съборъ
: вашего:DET,вашь
: плъна:ADJ,пльнъ
: ѧкоже:ADV,ꙗкоже
: подобаеть:NOUN,подобати
: ни:CCONJ,ни
: виждю:VERB,видѣти
: васъ:PRON,вꙑ
: ноудꙗщь:NOUN,ноудити
: мою:DET,мои
: нищетоу:PROPN,нищета
: принести:VERB,принести
: вамъ:PRON,вꙑ
: богатьство:NOUN,богатьство
: лежѧщее:VERB,лежати
: въ:ADP,въ
: евн҃глии:NOUN,евангелиє
: семь:DET,сь
: се:INTJ,се
: бо:ADV,бо
: начатъкъ:NOUN,начѧтъкъ
: с҃псениѧ:NOUN,съпасениє
: нашего:DET,нашь
: сѧдѣте:VERB,сѣсти
: послоушаите:VERB,послоушати
: симъ:DET,сь
: троуба:NOUN,трѫба
: бо:ADV,бо
: єсмь:AUX,бꙑти
: азъ:PRON,азъ
: аще:SCONJ,аще
: не:ADV,не
: вельгласьна:ADJ,вельгласьнъ
: нъ:CCONJ,нъ
: инѣмь:DET,инъ
: движема:VERB,двигнѫти
: мънѣ:PRON,азъ
: бо:ADV,бо
: ноуждꙗ:NOUN,ноужда
: есть:AUX,бꙑти
: глаголати:NOUN,глаголати
: а:CCONJ,а
: вамъ:PRON,вꙑ
: ли:ADV,ли
: послоушати:VERB,послоушати
: ли:CCONJ,ли
: неродити:NOUN,неродити
: ни:CCONJ,ни
: оубо:NOUN,оубо
: не:ADV,не
: дадимъ:VERB,дати
: мѣста:NOUN,мѣсто
: неприѧзни:NOUN,неприꙗзнь
: нъ:CCONJ,нъ
: ноуждьно:ADJ,ноуждьнъ
: бо:ADV,бо
: єсть:VERB,бꙑти
: црⷭ҇твиє:NOUN,цѣсарьствиє
